id;date;status;customer_id;command_id;product_id;rating;comment
1;2020-04-05T06:41:23;mindshare Team-oriented Intranet;52024;35205;56213;33077;expedite Orchestrator protocol
2;2020-04-05T11:05:37;Turkish Lira Graphical User Interface interfaces;59810;55095;64866;50516;Niger Beauty
3;2020-04-05T10:14:19;GB open-source North Dakota;81661;52837;47638;45735;analyzer
4;2020-04-05T15:11:05;Concrete Licensed;71511;35798;32167;61301;Checking Account Somali Shilling markets
5;2020-04-05T15:57:46;Product;35193;98298;96596;67927;Industrial
6;2020-04-05T16:45:08;Lithuania Hat;49223;9291;78697;62160;Arkansas deliver Sleek
7;2020-04-05T13:23:16;Mexico;91225;64121;86849;65921;Republic of Korea
8;2020-04-05T12:20:17;Metal grey;31689;72793;77038;98856;Extended Checking Account Chief
9;2020-04-05T05:12:43;Creative Cambridgeshire;9677;37244;26597;21364;Sleek deploy
10;2020-04-05T03:29:34;systemic;29310;79388;19320;14299;copy rich
